created_at,id_str,full_text,lang,username
Tue Dec 05 12:09:50 +0000 2023,1.73201E+18,@tempodotco 🔥🔥🔥🔥 https://t.co/rX4JgXJQS6,qme,furens_aru
Tue Dec 05 12:30:47 +0000 2023,1.73201E+18,@tempodotco Bisa aja P Anies  .... bikin mencret2 pro belimbing wuluh,in,he6176
Tue Dec 05 23:06:48 +0000 2023,1.73217E+18,@tempodotco Gw kira Asam sulfat baru pertama kali  ternyata udah dua kali disebut di acara yang berbeda. Kyk Template salah tapi kaga ada yang ngingetin. Wkwk,in,KafiKustik
Wed Dec 06 00:49:34 +0000 2023,1.7322E+18,@tempodotco org bengkel heran ibu hamil mau di kasi asam sulfat  anak muda minim literasi  Minim wawasan. Ini baru bicara 1 persoalan tentang kesehatan.,in,rusli_amarrul
Tue Dec 05 13:06:31 +0000 2023,1.73202E+18,@tempodotco Aluuuss 😂,en,ahmadian92
Tue Dec 05 12:34:37 +0000 2023,1.73202E+18,@tempodotco Biarkan saja  kalo pendukungnya @gibran_tweet beneran minum asam sulfat  dia jadi gak punya pendukung lagi dong😂,in,bungapemakaman
Tue Dec 05 21:44:34 +0000 2023,1.73215E+18,@tempodotco Logic saja..  Sah nyoblos 1   kalau nyoblos 2 apalagi 3 ndak sah.. 🤤 *sesuai aturan KPU.. bukan MK 🤣  🇲🇨🫶🇵🇸🫶 ☝️Allahu Akbar☝️,in,AuraSunan
Wed Dec 06 02:59:29 +0000 2023,1.73223E+18,@tempodotco Diem2 yg menang nomer 3 soalnya orng2 ga punya medsos milihnya nomer 3😭,in,youcancallmeff_
Tue Dec 05 13:41:59 +0000 2023,1.73203E+18,@tempodotco Jangan begitu lah bos sekarang udah ada turunan yg memberi asam sufat untuk istri mereka makanya anak meteka licik²  dan otak kompong,in,Jamaika6866
Wed Dec 06 03:51:54 +0000 2023,1.73225E+18,@tempodotco Gibran akna menang mengikuti bapakmya yg blunder ketika kampanye. Efecknya slma kerja blunder smua.,in,BogedaVodca
Wed Dec 06 03:22:08 +0000 2023,1.73224E+18,@tempodotco Capres kita nii boss 😍,in,relawandesaAMIN
