created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Dec 05 07:05:14 +0000 2023,1731932727518030000,Gibran tampak salting dan tersenyum mendengar ucapan tersebut. Para santri dan guru Ponpes Asshiddiqiyah juga tertawa mendengar ucapan tersebut.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran,0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932727518036366
Tue Dec 05 07:05:14 +0000 2023,1731932727446810000,Calon presiden nomor urut 2 Prabowo Subianto menyampaikan harapannya agar Indonesia bisa menjadi negara produsen mobil dan kapal yang handal. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.63061E+18,1.73193E+18,maleyintani,https://twitter.com/maleyintani/status/1731932727446815063
Tue Dec 05 07:05:14 +0000 2023,1731932726872110000,"Menurut Prabowo, masih ada persoalan sama yang dialami bangsa Indonesia sejak dulu,  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,0,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932726872113246
Tue Dec 05 07:05:14 +0000 2023,1731932725387670000,"Dan walbikhusus Mas Gibran yang kiyowo,"" kata Minorotul di Ponpes AsShiddiqiyah, Tangerang, Banten, Senin (4/12/2023).   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran""",0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932725387673906
Tue Dec 05 07:05:13 +0000 2023,1731932724305220000,Prabowo Subianto ingin Indonesia produksi mobil dan kapal #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto https://t.co/xoTKKI1rav,0,1,0,0,in,1.63061E+18,1.73193E+18,maleyintani,https://twitter.com/maleyintani/status/1731932724305223919
Tue Dec 05 07:05:13 +0000 2023,1731932723252780000,"Mulanya, Minorotul mengawali pertanyaannya dengan menyapa pimpinan ponpes. Kemudian, dia menyapa Gibran dengan sebutan 'kiyowo'.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932723252781516
Tue Dec 05 07:05:13 +0000 2023,1731932722442990000,Prabowo pun menjelaskan alasannya kembali maju dalam kontestasi Pemilihan Umum (Pemilu) 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932722442997914
Tue Dec 05 07:05:13 +0000 2023,1731932721214060000,"(Korsel) yang artinya lucu, imut, manis yang biasanya ditujukan ke orang sekitar.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932721214062949
Tue Dec 05 07:05:13 +0000 2023,1731932720618440000,"@Dennysiregar7 @prabowo @gibran_tweet Pancasila Sila ke 1 aja keTuhanan yang Maha Esa, masa iya mau ngasih hak ke orang yang ngelanggar kodrat dari Tuhan 😂",0,0,0,0,in,319522067,1.73163E+18,rov_aL,https://twitter.com/rov_aL/status/1731932720618442765
Tue Dec 05 07:05:12 +0000 2023,1731932719159140000,"Sebagai informasi, kiyowo atau gwieyowo merupakan kata yang berasal dari Korea Selatan   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",0,1,0,0,in,4513069644,1.73193E+18,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932719159148741
