,tanggal,tweet,username,tweet_url
561,Tue Dec 05 06:56:06 +0000 2023,"Dalam sebuah orasi politiknya pada kegiatan doa bersama 2000 kiai se-Banten di Lebak, Banten, Minggu (3/12), #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930429576327570
562,Tue Dec 05 06:56:05 +0000 2023,"Jalani masa kampanye, calon presiden nomor urut 2 Prabowo Subianto menegaskan kembali komitmennya yakni ingin membawa Indonesia menjadi negara industri yang berkembang. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930425969578199
563,Tue Dec 05 06:56:05 +0000 2023,"@anarisajuniarti Keren banget, Prabowo Subianto kasih 8 helikopter H225M buat TNI AU. dekade08",zaynalalamsyah,https://twitter.com/zaynalalamsyah/status/1731930424555827702
564,Tue Dec 05 06:56:04 +0000 2023,Prabowo Tegaskan Ingin Bawa Indonesia Jadii Negara Industri Tak Mau Jika Bangsa Ini Hanya Dibilang Negara Pasar. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,itstuti100,https://twitter.com/itstuti100/status/1731930419644494208
565,Tue Dec 05 06:55:57 +0000 2023,"@kurawa Lah emang gitu. Kalian juga sama. Kalian suka nyerang tapi begitu diserang, teriak fitnah. Ayo lah gaes, jadilah jantan. Dasar karbitan. Lemah. Ngandalin Bapak. Tak punya istri, liat Atiqoh kampanye teriak-teriak gak terima. Suruh nikah tuh Prabowo!",PendekarPetir17,https://twitter.com/PendekarPetir17/status/1731930391659872521
566,Tue Dec 05 06:55:50 +0000 2023,"dan daya saing negara serta menciptakan lapangan kerja, teknologi, dan memberikan nilai tambah bagi produk domestik #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930361179869398
567,Tue Dec 05 06:55:49 +0000 2023,Airbus Helicopters H225M merupakan platform yang sempurna karena dapat terus dikembangkan dan dilengkapi dengan sistem senjata generasi baru untuk berbagai misi operasi militer di masa mendatang. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,bangbonny_,https://twitter.com/bangbonny_/status/1731930358634135632
568,Tue Dec 05 06:55:49 +0000 2023,Pria kelahiran 1951 tersebut mengaku optimistis bahwa transformasi itu akan menjadi kunci untuk meningkatkan perekonomian #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,itstuti100,https://twitter.com/itstuti100/status/1731930357518205121
569,Tue Dec 05 06:55:49 +0000 2023,"Dengan berbagai fitur canggih tersebut dan kemampuan yang dimiliki saat ini, #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto",bangbonny_,https://twitter.com/bangbonny_/status/1731930355601715677
570,Tue Dec 05 06:55:48 +0000 2023,"tetapi juga mampu menciptakan produk bernilai tambah tinggi seperti menciptakan motor, mobil, pesawat terbang, kapal, dan perangkat elektronik. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930354204995806
571,Tue Dec 05 06:55:48 +0000 2023,H225M juga menggabungkan pembangkit listrik Turbomeca MAKILA 2A1 generasi baru yang memberikan kinerja tinggi dan keamanan maksimum. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,bangbonny_,https://twitter.com/bangbonny_/status/1731930352766365974
572,Tue Dec 05 06:55:47 +0000 2023,"Prabowo mengungkapkan harapannya agar Indonesia tidak hanya menjadi pemain utama dalam ekspor bahan mentah, #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930350459162692
573,Tue Dec 05 06:55:47 +0000 2023,"avionik canggih, termasuk LCD Multi-Functions Displays, Vehicle Monitoring System dan Automatic Flight Control System. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto",bangbonny_,https://twitter.com/bangbonny_/status/1731930349658124386
574,Tue Dec 05 06:55:47 +0000 2023,"Kita sekarang tidak mau lagi ada anak Indonesia yang kekurangan gizi, stunting, tidak boleh ada lagi istilah itu di bumi Indonesia,” ujar Prabowo. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930347099537822
