Data,Kadar_Air ,Tak_Larut,Kalsium,Magnesium,Sulfat ,NaCl_(wb),NaCl_(db),Grade
109,7.98816568,0.136238149,0.287317317,0.716083158,0.846203687,87.61122167,95.21734059,K2
110,7.384615385,0,0.285391355,0.553220164,0.781951566,87.68084752,94.67201144,K2
111,6.457242583,0.138172016,0.217295939,0.691001087,0.879850832,89.09103896,95.24098008,K2
112,8.518518519,0.012778889,0.222191644,0.653243433,0.844426901,86.85355033,94.94112789,K2
113,12.6459144,0.230391266,0.279436096,0.37723873,0.819552009,85.82750015,98.25241665,K2
114,13.33333333,0.008786065,0.234551079,0.351826618,0.884286022,86.34293709,99.62646587,K2
115,11.3243762,0.529716666,0.275166075,0.797981617,1.322952041,84.53205584,95.32727509,K2
116,7.751937984,0.589051904,0.264515158,0.846448506,1.088602368,85.20049877,92.36020455,K2
117,9.215686275,0.197343848,0.366051959,0.878524701,1.339754006,84.47395859,93.04906886,K2
118,6.403013183,0.440594683,0.473796048,0.540127494,1.291783245,87.63797496,93.63332938,K2
119,5.871212121,0.211921535,0.541328286,0.903782878,1.115276115,88.18198482,93.68226958,K2
120,1.169590643,0.639230525,0.538205074,0.067275634,1.284424676,93.97784023,95.09000402,K3
121,10.33797217,0.677657106,0.204264092,0.844291582,1.28143607,82.67429441,92.20658556,K3
122,7.692307692,0.654811235,0.431921638,0.777458948,1.416200516,84.29491573,91.31949204,K3
123,5.996131528,1.133842101,0.565581043,0.084837156,1.501455677,86.06688771,91.55675092,K3
124,6.764103225,0.58172459,0.419293821,0.521055144,1.36042955,86.53051129,92.83531685,K3
125,0.75,0.03275349,0.127465763,0.067275634,0.934623978,79.91006016,90.48752954,K3
126,11.17533719,0.25747847,0.504036455,0.769801131,0.934623978,83.22273996,93.69327992,K3
127,11.36738056,0.198741959,0.340358843,0.884932993,1.024720532,80.2014677,90.48752954,K3
128,7.692307692,0.654811235,0.431921638,0.777458948,1.416200516,84.29491573,91.31949204,K3
129,8.030592734,0.296823035,0.221097169,0.411240735,0.933233168,88.26401819,95.97106343,K4
130,10.29126214,0.718732631,0.725991403,0.612555246,1.287819783,83.86290293,93.48353898,K4
131,5.620155039,1.492820824,0.704948415,0.380672144,1.58260062,87.20645167,92.39944366,K4
132,0.6479,1.259286917,0.601844391,0.160491838,1.722932812,89.68569993,90.2705629,K4
133,7.736943907,0.478860476,0.503924934,0.993452013,1.953627657,85.44063864,92.60547207,K4
134,5.447470817,0.728397725,0.408564893,0.374159428,1.361027818,90.29764311,95.49997646,K4
135,5.152671756,1.159684384,0.537416237,0.266371526,1.420652997,87.57948913,92.33732858,K4
136,5.73012939,0.139055938,0.282087784,0.535966789,1.399155601,92.57231779,98.19926259,K1
137,9.28030303,0.279241391,0.317702617,0.102642384,1.39791121,84.64807872,93.30727675,K1
138,3.883495146,0.128980395,0.260809495,0.139049025,0.822037281,93.59719852,97.37890351,K1
139,7.335907336,0.136586888,0.249700319,0.026225034,0.44945023,89.76277695,96.86899679,K1
140,7.355864811,0.450122579,0.360644496,0.104914763,0.613416308,89.55687767,96.66761688,K1
141,5.426356589,0.283160924,0.374710608,0.083506936,0.76192173,92.11958969,97.40513992,K1
142,5.598455598,0.182573344,0.632801504,0.045046887,0.960342742,90.69682671,96.07557513,K1
143,5.479452055,0.15359017,0.299959071,0.128553888,0.527283743,91.13090619,96.41385728,K1
144,5.479452055,0.22175964,0.257077442,0.051415488,0.508501034,91.57518669,96.88389316,K1
145,5.952380952,0.223556183,0.76433443,0.025836657,1.153364952,90.20882804,95.91824754,K1
146,5.996131528,0.132579318,0.215414294,0.038774573,0.332263448,91.63444775,97.47944339,K1
147,8.333333333,0.10817923,0.242988577,0.079523534,0.361372689,88.90098494,96.98289266,K1
148,5.500982318,0.380615782,0.185517885,0.306104509,0.410079183,89.82782076,95.05688309,K1
